_id,gameId,AA.p1,AA.p2,AB.p1,AB.p2,BA.p1,BA.p2,BB.p1,BB.p2,repNum,playerId,payoff,response,role,time,box_A,box_B,AA,AB,BA,BB,playerIds,game_cond,chat_cond
7c4cteb6ykZrZwYWs,Z5FZXHNfuyphj5PhR,6,2,0,0,0,0,2,6,4,m3yvm4LFxdtfHeBRw,6,B,p2,3.254,crate,pink-crate,2,0,0,6,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
7KzWaR7BQotTnJYz7,Z5FZXHNfuyphj5PhR,8,7,0,0,0,0,7,8,5,m3yvm4LFxdtfHeBRw,0,B,p2,1.747,aqua-crate,green-crate,7,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
TCTd9KeKJRzj4MyL7,Z5FZXHNfuyphj5PhR,5,4,0,0,0,0,4,5,6,m3yvm4LFxdtfHeBRw,5,B,p2,5.699,crate,orange-crate,4,0,0,5,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
7fFccMEHBzTTnRD83,Z5FZXHNfuyphj5PhR,8,2,0,0,0,0,2,8,7,m3yvm4LFxdtfHeBRw,0,A,p2,4.886,pink-crate,purple-crate,2,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
gBGqJQWfcHHg3XP4y,Z5FZXHNfuyphj5PhR,9,4,0,0,0,0,4,9,8,m3yvm4LFxdtfHeBRw,4,A,p2,2.859,aqua-crate,yellow-crate,4,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
XJudnzbQpgH3Ctco8,Z5FZXHNfuyphj5PhR,9,4,0,0,0,0,4,9,9,m3yvm4LFxdtfHeBRw,9,B,p2,4.588,green-crate,blue-crate,4,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
Q2fp3Y3oiPDExzDXj,Z5FZXHNfuyphj5PhR,9,8,0,0,0,0,8,9,10,m3yvm4LFxdtfHeBRw,8,A,p2,4.266,orange-crate,purple-crate,8,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
6gewGqNoPgDHqEWb4,Z5FZXHNfuyphj5PhR,5,2,0,0,0,0,2,5,11,m3yvm4LFxdtfHeBRw,0,A,p2,5.284,green-crate,yellow-crate,2,0,0,5,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
2fFg6HkuxPpkJAigH,Z5FZXHNfuyphj5PhR,6,2,0,0,0,0,2,6,12,m3yvm4LFxdtfHeBRw,0,B,p2,2.536,green-crate,pink-crate,2,0,0,6,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
P9z4Cx3aQRTwYePMr,Z5FZXHNfuyphj5PhR,8,4,0,0,0,0,4,8,13,m3yvm4LFxdtfHeBRw,0,B,p2,3.523,green-crate,pink-crate,4,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
Akn23BuNFxMo5soNi,Z5FZXHNfuyphj5PhR,3,2,0,0,0,0,2,3,14,m3yvm4LFxdtfHeBRw,3,B,p2,3.292,blue-crate,green-crate,2,0,0,3,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
E8XPitmrvfcbYowQM,Z5FZXHNfuyphj5PhR,7,2,0,0,0,0,2,7,15,m3yvm4LFxdtfHeBRw,0,B,p2,3.428,yellow-crate,green-crate,2,0,0,7,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
Zq4eQGdfJ5qhafS6v,Z5FZXHNfuyphj5PhR,7,5,0,0,0,0,5,7,16,m3yvm4LFxdtfHeBRw,5,A,p2,3.278,blue-crate,aqua-crate,5,0,0,7,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
wWaWwzydX2ZuL4o5k,Z5FZXHNfuyphj5PhR,6,3,0,0,0,0,3,6,17,m3yvm4LFxdtfHeBRw,6,B,p2,3.213,crate,aqua-crate,3,0,0,6,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
wAmqqrNaeBY8BKFW5,Z5FZXHNfuyphj5PhR,9,8,0,0,0,0,8,9,18,m3yvm4LFxdtfHeBRw,9,B,p2,4.461,blue-crate,orange-crate,8,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
FwePpwhWcmv4yhx7r,Z5FZXHNfuyphj5PhR,7,4,0,0,0,0,4,7,19,m3yvm4LFxdtfHeBRw,0,A,p2,5.545,pink-crate,blue-crate,4,0,0,7,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
9crQDcMSLxe63ZyYp,Z5FZXHNfuyphj5PhR,4,3,0,0,0,0,3,4,20,m3yvm4LFxdtfHeBRw,0,B,p2,3.217,green-crate,blue-crate,3,0,0,4,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
eNrhq99BjREeEucSJ,Z5FZXHNfuyphj5PhR,9,6,0,0,0,0,6,9,21,m3yvm4LFxdtfHeBRw,9,B,p2,3.162,green-crate,yellow-crate,6,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
iHtWvGGdYKo3ByKmb,Z5FZXHNfuyphj5PhR,8,6,0,0,0,0,6,8,22,m3yvm4LFxdtfHeBRw,0,B,p2,5.044,purple-crate,blue-crate,6,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
QRFD6X7dmX2uzxK2k,Z5FZXHNfuyphj5PhR,7,5,0,0,0,0,5,7,23,m3yvm4LFxdtfHeBRw,0,B,p2,3.305,crate,blue-crate,5,0,0,7,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
pCAvKyt7zWPBecrLM,Z5FZXHNfuyphj5PhR,5,4,0,0,0,0,4,5,24,m3yvm4LFxdtfHeBRw,0,A,p2,5.329,yellow-crate,blue-crate,4,0,0,5,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
KYQ5CqrniSztZ8WA3,Z5FZXHNfuyphj5PhR,9,8,0,0,0,0,8,9,25,m3yvm4LFxdtfHeBRw,9,B,p2,3.084,orange-crate,green-crate,8,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
kpcbvmkgdkyqxXFJo,Z5FZXHNfuyphj5PhR,8,2,0,0,0,0,2,8,26,m3yvm4LFxdtfHeBRw,0,B,p2,5.34,aqua-crate,green-crate,2,0,0,8,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
vHq9drYNwmHSShFit,Z5FZXHNfuyphj5PhR,9,2,0,0,0,0,2,9,27,m3yvm4LFxdtfHeBRw,2,A,p2,4.747,orange-crate,purple-crate,2,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
GSkcSL5LS5fbFST3F,Z5FZXHNfuyphj5PhR,9,4,0,0,0,0,4,9,28,m3yvm4LFxdtfHeBRw,0,B,p2,2.804,blue-crate,green-crate,4,0,0,9,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
FkWdYLJ74SPTcWwgf,Z5FZXHNfuyphj5PhR,6,3,0,0,0,0,3,6,29,m3yvm4LFxdtfHeBRw,6,B,p2,2.75,pink-crate,aqua-crate,3,0,0,6,"GEP2thqtKeEPqmAYh,m3yvm4LFxdtfHeBRw",BoS,chat
