_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.timeClick,data.scoreIncrement,data.exitTimeoutId,data.exited
hD2MkKW2PfKYPtYW8,,2022-01-07T17:16:43Z,,,ExitSurvey,2022-01-07T17:26:49Z,finished,,,,2022-01-07T17:15:30Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.6600000000000006,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""}",A,1160,2,,
rR2L38qebA58DbaN3,,2022-01-07T17:18:01Z,,,ExitSurvey,2022-01-07T17:31:45Z,finished,,,,2022-01-07T17:17:02Z,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.8600000000000017,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}",A,18730,4,,
7nvaY2cZm5fSe5To5,,2022-01-07T17:19:52Z,,,ExitSurvey,2022-01-07T17:31:45Z,finished,,,,2022-01-07T17:19:21Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.2600000000000007,"{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",A,917,6,,
vN8frmNsCSBDHBWtZ,,2022-01-07T17:20:45Z,,,,2022-01-07T17:38:03Z,gameFull,,,,2022-01-07T17:20:14Z,,,,,,,,,,,
BhBJAmneFTkSF7RPC,,2022-01-07T17:41:15Z,,,ExitSurvey,2022-01-07T17:50:42Z,finished,,,,2022-01-07T17:39:46Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.6400000000000006,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",B,-745,9,,
R3hf6KBWwar7DMoMX,,2022-01-07T17:41:48Z,,,ExitSurvey,2022-01-07T18:00:50Z,finished,,,,2022-01-07T17:39:46Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,4.060000000000002,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/purple-crate.jpeg"",""label"":""B""}",A,7592,5,,
6LC7NqtTdMfTgnLeb,,2022-01-07T17:40:46Z,,,ExitSurvey,2022-01-07T17:51:03Z,finished,,,,2022-01-07T17:39:51Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.800000000000002,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""}",B,911,6,,
Xx3JaZWPXbD5N6GpY,,2022-01-07T17:40:30Z,,,ExitSurvey,2022-01-07T17:51:03Z,finished,,,,2022-01-07T17:39:54Z,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.340000000000001,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""}",A,5751,0,,
8HKH4BYfBDGKhHdr3,,2022-01-07T17:41:10Z,,,ExitSurvey,2022-01-07T17:57:06Z,finished,,,,2022-01-07T17:39:54Z,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.7000000000000024,"{""image"":""/experiment/green-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",A,-19835,6,,
kPKYPw8bGA8irS5nM,,2022-01-07T17:42:07Z,,,ExitSurvey,2022-01-07T17:51:36Z,finished,,,,2022-01-07T17:39:56Z,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,4.020000000000002,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",A,1893,5,,
