_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.bonus_log,data.role,data.name,data.avatar,data.nameColor,data.bonus,data.targets,data.clicked,data.scoreIncrement,data.exitTimeoutId,data.exited
CXXobgXhqw5xrHyWS,,2024-10-29T15:23:57Z,,,ExitSurvey,2024-10-29T15:33:25Z,finished,,,,2024-10-29T15:22:58Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.2800000000000002,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",A,0,,
BAs6qsrYdrSYmkqXe,,2024-10-29T15:23:58Z,,,ExitSurvey,2024-10-29T15:33:25Z,finished,,,,2024-10-29T15:22:58Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,1.7850000000000001,"{""image"":""/experiment/blue-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",B,0,,
Cy4gjBRJvStHKEmwK,,2024-10-29T15:24:03Z,,,ExitSurvey,2024-10-29T15:34:36Z,finished,,,,2024-10-29T15:22:59Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.025,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",A,2,,
hRQ6RpkBsnTpkxQs5,,2024-10-29T15:24:50Z,,,"Sorry,ExitSurvey",2024-10-29T15:25:12Z,custom,It looks like one of your partners disconnected before you could finish the experiment!,,,2024-10-29T15:23:03Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,0,"{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""},{""image"":""/experiment/crate.jpeg"",""label"":""B""}",false,0,5324,true
AZizvAbFFDgDYqKx8,,2024-10-29T15:25:26Z,,,ExitSurvey,2024-10-29T15:36:13Z,finished,,,,2024-10-29T15:23:05Z,,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,3.06,"{""image"":""/experiment/yellow-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",A,6,,
CuRuZ99E6NGTMHQ2Z,,2024-10-29T15:24:23Z,,,ExitSurvey,2024-10-29T15:34:55Z,finished,,,,2024-10-29T15:23:05Z,,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.25,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",A,0,,
iKq79srjo36vuXuZh,,2024-10-29T15:25:34Z,,,ExitSurvey,2024-10-29T15:39:47Z,finished,,,,2024-10-29T15:23:08Z,,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,1.71,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",B,9,,
pKJw5dJ2DnHqfcaop,,2024-10-29T15:25:10Z,,,ExitSurvey,2024-10-29T15:35:35Z,finished,,,,2024-10-29T15:23:11Z,,p2,Minu,/avatars/jdenticon/Alaina,#7ACC66,3.6450000000000005,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""}",B,0,,
Saoq6dKLMrzp9f24h,,2024-10-29T15:24:40Z,,,ExitSurvey,2024-10-29T15:38:00Z,finished,,,,2024-10-29T15:23:12Z,,p1,Minu,/avatars/jdenticon/Alaina,#7ACC66,2.8349999999999995,"{""image"":""/experiment/green-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",B,10,,
r8DWpGrSYZpXJYhPd,,2024-10-29T15:23:43Z,,,ExitSurvey,2024-10-29T15:35:10Z,finished,,,,2024-10-29T15:23:12Z,,p1,Repi,/avatars/jdenticon/Samuel,#8138A8,2.985,"{""image"":""/experiment/pink-crate.jpeg"",""label"":""A""},{""image"":""/experiment/blue-crate.jpeg"",""label"":""B""}",A,2,,
ffKSMB8XNkFJrvcy4,,2024-10-29T15:24:23Z,,,ExitSurvey,2024-10-29T15:34:35Z,finished,,,,2024-10-29T15:23:14Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,2.4900000000000007,"{""image"":""/experiment/orange-crate.jpeg"",""label"":""A""},{""image"":""/experiment/green-crate.jpeg"",""label"":""B""}",B,5,,
YpGDnyTGSeRQYuews,,2024-10-29T15:24:56Z,,,,2024-10-29T15:56:49Z,gameCancelled,,,,2024-10-29T15:23:14Z,,p2,Repi,/avatars/jdenticon/Samuel,#8138A8,0,"{""image"":""/experiment/crate.jpeg"",""label"":""B""},{""image"":""/experiment/aqua-crate.jpeg"",""label"":""A""}",false,0,,
